_id,IncidentNum,ReportedDateTime,ReportedYear,ReportedMonth,Location,WeaponUsed,ALD,NSP,POLICE,TRACT,WARD,ZIP,RoughX,RoughY,Arson,AssaultOffense,Burglary,CriminalDamage,Homicide,LockedVehicle,Robbery,SexOffense,Theft,VehicleTheft,geometry,index_right,OBJECTID,NEIGHBORHD,WORKGROUP,Year,Month,Hour,Weekday,ReportUID
24077,51740152,2005-06-23 13:30:00,2005,6,2602 W GALENA ST,,15.0,12.0,3.0,185800.0,173.0,53205.0,2548888.501,389979.524,0,0,0,0,0,0,0,0,1,0,POINT (2548888.501 389979.524),103.0,105.0,MIDTOWN,1.0,2005,6,13,Thursday,24111
52635,53470020,2005-12-12 22:26:00,2005,12,11000 W HEATHER AV,,9.0,18.0,4.0,201.0,1.0,53224.0,2521682.677,434304.28,0,0,0,1,0,0,0,0,0,0,POINT (2521682.677 434304.28),187.0,189.0,GRANVILLE STATION,6.0,2005,12,22,Monday,51945
45705,53020145,2005-10-29 00:01:00,2005,10,4965 N 20TH ST,,1.0,3.0,7.0,2300.0,57.0,53209.0,2550901.001,410093.737,0,0,0,0,0,0,0,0,0,1,POINT (2550901.001 410093.737),83.0,85.0,LINCOLN PARK,6.0,2005,10,0,Saturday,45184
3343,50550041,2005-01-01 12:05:00,2005,1,2111 S 35TH ST,,8.0,,2.0,17200.0,217.0,53215.0,2546240.205,373569.353,0,0,0,1,0,0,0,0,0,0,POINT (2546240.205 373569.353),13.0,15.0,BURNHAM PARK,6.0,2005,1,12,Saturday,3898
73782,61290168,2006-05-09 01:00:00,2006,5,1138 W HADLEY ST,BLUNT OBJECT,15.0,10.0,5.0,8400.0,143.0,53206.0,2554159.178,396672.265,0,1,0,0,0,0,0,0,0,0,POINT (2554159.178 396672.265),118.0,120.0,NORTH DIVISION,2.0,2006,5,1,Tuesday,72514
105233,63050147,2006-10-29 03:00:00,2006,10,3409 S 9TH ST,,14.0,,6.0,20300.0,292.0,53215.0,2555799.626,365148.757,0,0,0,0,0,0,0,0,1,0,POINT (2555799.626 365148.757),110.0,112.0,MORGANDALE,6.0,2006,10,3,Sunday,103046
59601,60290034,2006-01-28 14:30:00,2006,1,3227 N 81ST ST,HANDS,5.0,,7.0,5300.0,84.0,53222.0,2530720.139,398926.967,0,1,0,0,0,0,0,0,0,0,POINT (2530720.139 398926.967),77.0,79.0,KOPS PARK,6.0,2006,1,14,Saturday,58703
82875,61830089,2006-07-01 18:00:00,2006,7,2822 S CLEMENT AV,,14.0,,6.0,18300.0,246.0,53207.0,2563353.743,369293.508,0,0,0,0,0,0,0,0,1,0,POINT (2563353.743 369293.508),6.0,8.0,BAY VIEW,6.0,2006,7,18,Saturday,81331
147699,72040097,2007-07-10 20:30:00,2007,7,245 W LINCOLN AV,HANDS,14.0,17.0,2.0,186600.0,249.0,53207.0,2558532.077,372497.325,0,0,0,0,0,0,1,0,0,0,POINT (2558532.077 372497.325),6.0,8.0,BAY VIEW,6.0,2007,7,20,Tuesday,143950
141421,71670077,2007-06-15 20:00:00,2007,6,200 W OKLAHOMA AV,,14.0,,6.0,18500.0,292.0,53207.0,2558539.275,366503.009,0,0,0,0,0,1,0,0,0,0,POINT (2558539.275 366503.009),6.0,8.0,BAY VIEW,6.0,2007,6,20,Friday,137933
174387,73600042,2007-12-21 08:30:00,2007,12,3631 N 76TH ST,,5.0,,7.0,5200.0,89.0,53222.0,2532332.126,400934.346,0,0,0,1,0,0,0,0,0,0,POINT (2532332.126 400934.346),28.0,30.0,DINEEN PARK,6.0,2007,12,8,Friday,169879
170054,73290015,2007-11-25 00:45:00,2007,11,3417 S AHMEDI AV,,14.0,,6.0,20700.0,301.0,53207.0,2565653.055,365302.326,0,0,0,1,0,0,0,0,0,0,POINT (2565653.055 365302.326),6.0,8.0,BAY VIEW,6.0,2007,11,0,Sunday,165645
192869,81280049,2008-05-04 00:01:00,2008,5,3453 N 15TH ST,,6.0,4.0,5.0,6800.0,113.0,53206.0,2553059.328,400113.826,0,0,0,0,0,0,0,0,1,0,POINT (2553059.328 400113.826),8.0,10.0,BORCHERT FIELD,2.0,2008,5,0,Sunday,187921
176032,80060037,2008-01-06 01:30:00,2008,1,4448 N 74TH ST,HANDGUN,2.0,,7.0,3200.0,73.0,53218.0,2532973.409,406271.634,0,1,0,0,0,0,0,0,0,0,POINT (2532973.409 406271.634),24.0,26.0,COLUMBUS PARK,6.0,2008,1,1,Sunday,171464
181466,80470153,2008-02-16 20:00:00,2008,2,500 W MINERAL ST,,12.0,16.0,2.0,186500.0,235.0,53204.0,2557056.333,379120.479,0,0,0,1,0,0,0,0,0,0,POINT (2557056.333 379120.479),171.0,173.0,WALKER'S POINT,5.0,2008,2,20,Saturday,176779
224434,83140143,2008-11-07 02:00:00,2008,11,5555 N 64TH ST,,2.0,2.0,4.0,1800.0,43.0,53218.0,2536359.699,414088.462,0,0,0,0,0,1,0,0,0,0,POINT (2536359.699 414088.462),147.0,149.0,SILVER SPRING,6.0,2008,11,2,Friday,218801
262543,92270198,2009-08-15 13:00:00,2009,8,239 S 84TH ST,UNKNO,10.0,,3.0,12800.0,211.0,53214.0,2530118.533,381654.058,0,0,0,1,0,0,0,0,0,0,POINT (2530118.533 381654.058),70.0,72.0,HONEY CREEK PARKWAY,6.0,2009,8,13,Saturday,256153
244767,91100200,2009-04-18 20:00:00,2009,4,1800 E WINDSOR PL,,3.0,,1.0,10800.0,180.0,53202.0,2564476.666,392607.505,0,0,0,0,0,1,0,0,0,0,POINT (2564476.666 392607.505),88.0,90.0,LOWER EAST SIDE,6.0,2009,4,20,Saturday,238756
275635,93140106,2009-11-04 08:00:00,2009,11,2233 N SUMMIT AV,NONE,3.0,,1.0,187000.0,135.0,53202.0,2565499.002,392816.782,0,0,0,0,0,0,0,0,1,0,POINT (2565499.002 392816.782),119.0,121.0,NORTHPOINT,6.0,2009,11,8,Wednesday,268960
246179,91210005,2009-04-30 23:40:00,2009,4,2110 W ORCHARD ST,GUN/HANDG/KNIFE,8.0,15.0,2.0,16300.0,225.0,53204.0,2551044.952,377103.016,0,0,0,0,0,0,1,0,0,0,POINT (2551044.952 377103.016),114.0,116.0,MUSKEGO WAY,5.0,2009,4,23,Thursday,240142
292929,100950058,2010-04-03 06:30:00,2010,4,2951 N 49TH ST,UNKNO,7.0,5.0,7.0,4900.0,97.0,53210.0,2541094.708,397129.09,0,0,1,0,0,0,0,0,0,0,POINT (2541094.708 397129.09),141.0,143.0,SAINT JOSEPH,1.0,2010,4,6,Saturday,285926
329357,103650058,2010-12-24 17:30:00,2010,12,2718 N 58TH ST,NONE,10.0,5.0,7.0,5900.0,164.0,53210.0,2538357.387,395755.611,0,0,0,0,0,0,0,0,0,1,POINT (2538357.387 395755.611),141.0,143.0,SAINT JOSEPH,1.0,2010,12,17,Friday,321665
307849,102020127,2010-04-03 07:25:00,2010,4,108 W HOWARD AV,NONE,13.0,,6.0,18500.0,293.0,53207.0,2559442.675,361909.686,0,0,0,0,0,0,0,0,1,0,POINT (2559442.675 361909.686),158.0,160.0,TIPPECANOE,6.0,2010,4,7,Saturday,300574
316571,102630142,2010-09-20 18:15:00,2010,9,2478 N 55TH ST,HANDG,10.0,5.0,3.0,9300.0,165.0,53210.0,2539293.465,393764.632,0,1,0,0,0,0,0,0,0,0,POINT (2539293.465 393764.632),165.0,167.0,UPTOWN,1.0,2010,9,18,Monday,309135
358403,112360082,2011-08-23 23:50:00,2011,8,3100 W VILLARD AV,UNKNO,1.0,2.0,4.0,2100.0,53.0,53209.0,2546965.648,411951.651,0,0,0,0,0,1,0,0,0,0,POINT (2546965.648 411951.651),122.0,124.0,OLD NORTH MILWAUKEE,4.0,2011,8,23,Tuesday,350150
340143,111010129,2011-04-10 18:23:00,2011,4,3000 N 8TH ST,UNKNO,6.0,4.0,5.0,6700.0,117.0,53206.0,2555365.278,398015.44,0,0,0,1,0,0,0,0,0,0,POINT (2555365.278 398015.44),55.0,57.0,HARAMBEE,3.0,2011,4,18,Sunday,332243
371883,113400036,2011-11-10 13:15:00,2011,11,7501 N GRANVILLE RD,UNKNO,9.0,,4.0,202.0,6.0,53224.0,2526063.289,426775.884,0,0,0,0,0,0,0,0,1,0,POINT (2526063.289 426775.884),14.0,16.0,CALUMET FARMS,6.0,2011,11,13,Thursday,363355
329917,110040158,2011-01-04 20:30:00,2011,1,2907 N 29TH ST,HANDGUN,7.0,4.0,5.0,6300.0,105.0,53210.0,2547786.67,397279.899,0,1,0,0,0,0,0,0,0,0,POINT (2547786.67 397279.899),126.0,128.0,AMANI,2.0,2011,1,20,Tuesday,322219
390548,121370049,2012-05-15 23:00:00,2012,5,704 S 10TH ST,NONE,12.0,16.0,2.0,15700.0,234.0,53204.0,2555130.898,380200.541,0,0,0,0,0,1,0,0,0,0,POINT (2555130.898 380200.541),171.0,173.0,WALKER'S POINT,5.0,2012,5,23,Tuesday,381631
